977|Envío y entrega|Versand und Lieferung|Spedizione e consegna
978|El envío se realiza después de asignar el stock y producir. Los métodos disponibles, plazos estimados y costes se muestran durante la compra para el pedido concreto.|Der Versand erfolgt nach Bestandszuordnung und Produktion. Verfügbare Versandarten, geschätzte Zeiten und Kosten werden beim Kauf für die jeweilige Bestellung angezeigt.|La spedizione segue l'assegnazione delle scorte e la produzione. Metodi disponibili, tempi stimati e costi vengono mostrati durante l'acquisto per l'ordine specifico.
979|Pedidos para fechas fijas|Bestellungen für feste Termine|Ordini per date fisse
980|Para eventos y plazos fijos, deja un margen de seguridad y confirma el plazo completo antes de comprometerte con un producto.|Planen Sie bei Veranstaltungen und festen Terminen einen Sicherheitspuffer ein und bestätigen Sie die gesamte Lieferzeit vor der Produktentscheidung.|Per eventi e scadenze fisse, prevedi un margine di sicurezza e conferma i tempi complessivi prima di scegliere definitivamente un prodotto.
981|Consulta el recorrido completo de compra.|Sehen Sie sich den vollständigen Kaufablauf an.|Consulta il percorso completo di acquisto.
982|Productos promocionales para eventos|Werbeartikel für Veranstaltungen|Prodotti promozionali per eventi
983|/guias/brindes-para-eventos-guia|/guias/brindes-para-eventos-guia|/guias/brindes-para-eventos-guia
984|Planifica productos, cantidades y plazos para eventos.|Planen Sie Produkte, Mengen und Termine für Veranstaltungen.|Pianifica prodotti, quantità e tempi per gli eventi.
985|Solicitud a medida|Individuelle Anfrage|Richiesta su misura
986|/contacto|/contacto|/contacto
987|Pide asistencia si tienes una necesidad o fecha concreta.|Bitten Sie bei besonderen Anforderungen oder Terminen um Unterstützung.|Chiedi assistenza per esigenze o date specifiche.
988|Indica la cantidad, la personalización y la fecha que necesitas.|Teilen Sie Menge, Personalisierung und gewünschten Termin mit.|Indica quantità, personalizzazione e data richiesta.
989|metodologia-editorial|metodologia-editorial|metodologia-editorial
990|Metodología editorial de 360 Merchandising|Redaktionelle Methodik von 360 Merchandising|Metodologia editoriale di 360 Merchandising
991|Cómo creamos y revisamos los contenidos 360|So erstellen und prüfen wir 360-Inhalte|Come creiamo e rivediamo i contenuti 360
992|Descubre cómo 360 Merchandising elabora guías, comparaciones y contenidos de apoyo a la compra.|Erfahren Sie, wie 360 Merchandising Ratgeber, Vergleiche und Kaufberatungsinhalte erstellt.|Scopri come 360 Merchandising realizza guide, confronti e contenuti di supporto all'acquisto.
993|Nuestros contenidos convierten necesidades comerciales en criterios útiles para decidir y distinguen claramente información del catálogo, orientaciones editoriales, datos externos y afirmaciones que requieren validación específica.|Unsere Inhalte übersetzen geschäftliche Anforderungen in nützliche Entscheidungskriterien und unterscheiden klar zwischen Kataloginformationen, redaktioneller Beratung, externen Daten und Aussagen mit besonderem Prüfbedarf.|I nostri contenuti trasformano esigenze commerciali in criteri utili per decidere, distinguendo chiaramente informazioni del catalogo, indicazioni editoriali, dati esterni e affermazioni che richiedono verifica specifica.
994|Separar los hechos de las orientaciones editoriales|Fakten von redaktioneller Beratung trennen|Distinguere i fatti dalle indicazioni editoriali
995|No inventar opiniones, estadísticas ni certificaciones|Keine Rezensionen, Statistiken oder Zertifizierungen erfinden|Non inventare recensioni, statistiche o certificazioni
996|Vincular las recomendaciones a la configuración exacta|Empfehlungen mit der genauen Konfiguration verknüpfen|Collegare le raccomandazioni alla configurazione esatta
997|Actualizar los contenidos cuando cambie la información|Inhalte bei geänderten Informationen aktualisieren|Aggiornare i contenuti quando le informazioni cambiano
998|1. Partimos de la intención del usuario|1. Wir beginnen mit der Nutzerabsicht|1. Partiamo dall'intento dell'utente
999|Las guías responden a preguntas reales de compra: objetivo, público, cantidad, presupuesto, plazo, material, personalización y contexto de uso.|Die Ratgeber behandeln echte Kauffragen zu Ziel, Zielgruppe, Menge, Budget, Termin, Material, Personalisierung und Nutzungskontext.|Le guide rispondono a domande reali di acquisto: obiettivo, pubblico, quantità, budget, scadenza, materiale, personalizzazione e contesto d'uso.
1000|2. No extrapolamos los datos del catálogo|2. Katalogdaten werden nicht verallgemeinert|2. I dati del catalogo non vengono estrapolati
1001|Las características proceden de la referencia seleccionada. Un material, certificación o técnica de un artículo no se presupone en otro.|Produkteigenschaften stammen aus der ausgewählten Referenz. Material, Zertifizierung oder Technik eines Artikels werden nicht für einen anderen vorausgesetzt.|Le caratteristiche provengono dal riferimento selezionato. Materiali, certificazioni o tecniche di un articolo non vengono presunti per un altro.
1002|3. Las recomendaciones son criterios|3. Empfehlungen sind Kriterien|3. Le raccomandazioni sono criteri
1003|Nuestras recomendaciones explican las ventajas y limitaciones. La elección final debe considerar precio, stock, cantidad, técnica y contexto del pedido.|Unsere Empfehlungen erläutern Vor- und Nachteile. Die endgültige Wahl muss Preis, Bestand, Menge, Technik und Bestellkontext berücksichtigen.|Le nostre raccomandazioni spiegano vantaggi e compromessi. La scelta finale deve considerare prezzo, disponibilità, quantità, tecnica e contesto dell'ordine.
1004|4. Las estadísticas requieren una fuente identificable|4. Statistiken benötigen eine erkennbare Quelle|4. Le statistiche richiedono una fonte identificabile
1005|No presentamos porcentajes, clasificaciones ni tendencias como hechos sin una base verificable y un contexto adecuado.|Prozentwerte, Ranglisten und Trends werden ohne nachvollziehbare Grundlage und geeigneten Kontext nicht als Fakten dargestellt.|Percentuali, classifiche e tendenze non vengono presentate come fatti senza una base verificabile e un contesto adeguato.
1006|5. Nunca inventamos opiniones ni casos|5. Rezensionen und Fälle werden nie erfunden|5. Recensioni e casi non vengono mai inventati
1007|Los testimonios y casos de estudio solo se presentan como reales cuando existen pruebas y permiso para publicarlos.|Erfahrungsberichte und Fallstudien werden nur bei vorhandenen Belegen und Veröffentlichungsrechten als real dargestellt.|Testimonianze e casi studio vengono presentati come reali solo quando esistono prove e autorizzazione alla pubblicazione.
1008|6. Revisamos los contenidos|6. Inhalte werden geprüft|6. I contenuti vengono rivisti
1009|La información del catálogo y las prácticas del mercado evolucionan; los contenidos pueden corregirse y actualizarse manteniendo estos principios.|Kataloginformationen und Marktpraktiken entwickeln sich weiter. Inhalte können unter Wahrung dieser Grundsätze korrigiert und aktualisiert werden.|Le informazioni del catalogo e le pratiche di mercato evolvono; i contenuti possono essere corretti e aggiornati rispettando questi principi.
1010|/autores/360-merchandising|/autores/360-merchandising|/autores/360-merchandising
1011|Conoce a la entidad responsable de los contenidos institucionales y las guías.|Lernen Sie die verantwortliche Stelle für Unternehmensinhalte und Ratgeber kennen.|Conosci il soggetto responsabile dei contenuti istituzionali e delle guide.
1012|Descubre cómo aplicamos la metodología al catálogo.|Erfahren Sie, wie die Methodik im Katalog angewendet wird.|Scopri come la metodologia si applica al catalogo.
1013|Explora contenidos publicados con este enfoque.|Entdecken Sie nach diesem Ansatz veröffentlichte Inhalte.|Esplora contenuti pubblicati con questo approccio.
1014|Ver nuestros contenidos editoriales.|Unsere redaktionellen Inhalte ansehen.|Consulta i nostri contenuti editoriali.
1015|Kits de bienvenida personalizados para empresas|Personalisierte Willkommenspakete für Unternehmen|Kit di benvenuto personalizzati per aziende
1016|Kits de bienvenida personalizados para empresas y equipos|Personalisierte Willkommenspakete für Unternehmen und Teams|Kit di benvenuto personalizzati per aziende e team
1017|kits de bienvenida|Willkommenspakete|kit di benvenuto
1018|Aplicaciones · Kits de bienvenida|Einsatzbereiche · Willkommenspakete|Applicazioni · Kit di benvenuto
1019|Productos promocionales personalizados para eventos|Personalisierte Werbeartikel für Veranstaltungen|Prodotti promozionali personalizzati per eventi
1020|Merchandising y productos promocionales personalizados para eventos|Personalisiertes Merchandising und Werbeartikel für Veranstaltungen|Merchandising e prodotti promozionali personalizzati per eventi
1021|eventos|Veranstaltungen|eventi
1022|Aplicaciones · Eventos|Einsatzbereiche · Veranstaltungen|Applicazioni · Eventi
1023|Productos y kits personalizados para congresos|Personalisierte Produkte und Sets für Konferenzen|Prodotti e kit personalizzati per congressi
1024|Productos promocionales personalizados para conferencias y congresos|Personalisierte Werbeartikel für Konferenzen und Kongresse|Prodotti promozionali personalizzati per conferenze e congressi
1025|congresos|Konferenzen|congressi
1026|Aplicaciones · Congresos|Einsatzbereiche · Konferenzen|Applicazioni · Congressi
1027|Regalos corporativos de Navidad personalizados|Personalisierte Weihnachtsgeschenke für Unternehmen|Regali natalizi aziendali personalizzati
1028|Regalos y productos navideños personalizados para empresas|Personalisierte Weihnachtsgeschenke und Werbeartikel für Unternehmen|Regali e prodotti natalizi personalizzati per aziende
1029|campañas navideñas corporativas|Weihnachtskampagnen für Unternehmen|campagne natalizie aziendali
1030|Aplicaciones · Navidad|Einsatzbereiche · Weihnachten|Applicazioni · Natale
1031|Regalos personalizados para empleados|Personalisierte Geschenke für Mitarbeitende|Regali personalizzati per dipendenti
1032|Merchandising y regalos personalizados para empleados|Personalisiertes Merchandising und Geschenke für Mitarbeitende|Merchandising e regali personalizzati per dipendenti
1033|empleados y equipos internos|Mitarbeitende und interne Teams|dipendenti e team interni
1034|Aplicaciones · Empleados|Einsatzbereiche · Mitarbeitende|Applicazioni · Dipendenti
1035|Merchandising personalizado para hostelería|Personalisiertes Merchandising für die Hotellerie|Merchandising personalizzato per l'ospitalità
1036|Merchandising y regalos personalizados para hoteles|Personalisiertes Merchandising und Geschenke für Hotels|Merchandising e regali personalizzati per hotel
1037|hoteles y hostelería|Hotels und Hotellerie|hotel e ospitalità
1038|Sectores · Hostelería|Branchen · Hotellerie|Settori · Ospitalità
1039|Merchandising personalizado para universidades|Personalisiertes Merchandising für Hochschulen|Merchandising personalizzato per università
1040|Merchandising y productos promocionales personalizados para universidades|Personalisiertes Merchandising und Werbeartikel für Hochschulen|Merchandising e prodotti promozionali personalizzati per università
1041|universidades y educación|Hochschulen und Bildung|università e istruzione
1042|Sectores · Universidades|Branchen · Hochschulen|Settori · Università
1043|Merchandising personalizado para startups|Personalisiertes Merchandising für Start-ups|Merchandising personalizzato per startup
1044|Merchandising y kits de bienvenida para startups|Merchandising und Willkommenspakete für Start-ups|Merchandising e kit di benvenuto per startup
1045|startups y equipos en crecimiento|Start-ups und wachsende Teams|startup e team in crescita
1046|Sectores · Startups|Branchen · Start-ups|Settori · Startup
1047|Merchandising personalizado para empresas tecnológicas|Personalisiertes Merchandising für Technologieunternehmen|Merchandising personalizzato per aziende tecnologiche
1048|Merchandising para empresas tecnológicas y SaaS|Merchandising für Technologie- und SaaS-Unternehmen|Merchandising per aziende tecnologiche e SaaS
1049|empresas tecnológicas y SaaS|Technologie- und SaaS-Unternehmen|aziende tecnologiche e SaaS
1050|Sectores · Tecnología|Branchen · Technologie|Settori · Tecnologia
1051|Productos promocionales personalizados para el sector sanitario|Personalisierte Werbeartikel für das Gesundheitswesen|Prodotti promozionali personalizzati per la sanità
1052|Merchandising personalizado para centros sanitarios y clínicas|Personalisiertes Merchandising für Gesundheitseinrichtungen und Kliniken|Merchandising personalizzato per strutture sanitarie e cliniche
1053|centros sanitarios y clínicas|Gesundheitseinrichtungen und Kliniken|strutture sanitarie e cliniche
1054|Sectores · Salud|Branchen · Gesundheit|Settori · Sanità
1055|Merchandising personalizado para restaurantes|Personalisiertes Merchandising für Restaurants|Merchandising personalizzato per ristoranti
1056|Merchandising personalizado para restaurantes y restauración|Personalisiertes Merchandising für Restaurants und Gastronomie|Merchandising personalizzato per ristoranti e ristorazione
1057|restaurantes y restauración|Restaurants und Gastronomie|ristoranti e ristorazione
1058|Sectores · Restauración|Branchen · Gastronomie|Settori · Ristorazione
1059|Merchandising personalizado para turismo|Personalisiertes Merchandising für den Tourismus|Merchandising personalizzato per il turismo
1060|Merchandising personalizado para turismo y experiencias de visitantes|Personalisiertes Merchandising für Tourismus und Besuchererlebnisse|Merchandising personalizzato per turismo ed esperienze dei visitatori
1061|turismo y experiencias de visitantes|Tourismus und Besuchererlebnisse|turismo ed esperienze dei visitatori
1062|Sectores · Turismo|Branchen · Tourismus|Settori · Turismo
1063|Descubre ideas de merchandising para {0}. Compara productos útiles, stock disponible, cantidades y opciones de personalización en un solo lugar.|Entdecken Sie Merchandising-Ideen für {0}. Vergleichen Sie nützliche Produkte, verfügbare Bestände, Bestellmengen und Personalisierungsoptionen an einem Ort.|Scopri idee di merchandising per {0}. Confronta prodotti utili, disponibilità, quantità e opzioni di personalizzazione in un unico posto.
1064|Define el público, el uso previsto y la experiencia que quieres crear para {0}. Así será más fácil elegir productos relevantes.|Definieren Sie Zielgruppe, Verwendungszweck und gewünschtes Erlebnis für {0}. So wählen Sie leichter passende Produkte.|Definisci il pubblico, l'uso previsto e l'esperienza che vuoi creare per {0}. Sarà più facile scegliere prodotti pertinenti.
1065|Compara productos y cantidades|Produkte und Mengen vergleichen|Confronta prodotti e quantità
1066|Revisa materiales, colores, cantidades mínimas, stock y precios por cantidad antes de finalizar tu selección.|Prüfen Sie Materialien, Farben, Mindestmengen, Bestand und Mengenpreise vor Ihrer Vorauswahl.|Verifica materiali, colori, quantità minime, disponibilità e prezzi per quantità prima di completare la selezione.
1067|Confirma personalización y plazos|Personalisierung und Termine bestätigen|Conferma personalizzazione e tempi
1068|Comprueba el área exacta de impresión, técnica, requisitos del archivo y plazo estimado del producto elegido.|Prüfen Sie die genaue Druckfläche, Technik, Dateianforderungen und voraussichtliche Lieferzeit des gewählten Produkts.|Controlla area esatta di stampa, tecnica, requisiti grafici e tempi stimati del prodotto selezionato.
1069|Productos seleccionados para el uso previsto|Produkte passend zum Verwendungszweck|Prodotti selezionati per l'uso previsto
1070|Visibilidad de stock y cantidades|Transparenz bei Bestand und Mengen|Visibilità su disponibilità e quantità
1071|Compra online o asistencia a medida|Onlinebestellung oder individuelle Unterstützung|Ordini online o assistenza su misura
1072|Ver productos|Produkte ansehen|Vedi prodotti
1073|producto|Produkt|prodotto
1074|productos|Produkte|prodotti
1075|disponibles|verfügbar|disponibili
1076|Inténtalo de nuevo.|Bitte versuchen Sie es erneut.|Riprova.
1077|Precio bajo consulta|Preis auf Anfrage|Prezzo su richiesta
1078|Stock|Bestand|Disponibilità
1079|Catálogo|Katalog|Catalogo
1080|Categorías de productos|Produktkategorien|Categorie di prodotti
1081|Explora el catálogo por categorías y encuentra rápidamente productos para campañas, eventos, equipos, clientes y acciones empresariales.|Durchsuchen Sie den Katalog nach Kategorien und finden Sie schnell Produkte für Kampagnen, Veranstaltungen, Teams, Kunden und Unternehmensaktionen.|Esplora il catalogo per categoria e trova rapidamente prodotti per campagne, eventi, team, clienti e iniziative aziendali.
1082|No se han podido cargar las categorías.|Die Kategorien konnten nicht geladen werden.|Impossibile caricare le categorie.
1083|Todavía no hay categorías disponibles|Noch keine Kategorien verfügbar|Nessuna categoria ancora disponibile
1084|El catálogo está en preparación.|Der Katalog wird vorbereitet.|Il catalogo è in preparazione.
1085|Buscar|Suchen|Cerca
1086|Búsqueda de productos|Produktsuche|Ricerca prodotti
1087|Encuentra productos promocionales, merchandising corporativo, regalos empresariales y ropa promocional para campañas, eventos y equipos.|Finden Sie Werbeartikel, Unternehmensmerchandising, Firmengeschenke und Werbekleidung für Kampagnen, Veranstaltungen und Teams.|Trova prodotti promozionali, merchandising aziendale, regali d'impresa e abbigliamento promozionale per campagne, eventi e team.
1088|Buscar por producto, SKU, material, marca o categoría|Nach Produkt, SKU, Material, Marke oder Kategorie suchen|Cerca per prodotto, SKU, materiale, marchio o categoria
1089|Todos los tipos|Alle Typen|Tutti i tipi
1090|Material|Material|Materiale
1091|Todos los materiales|Alle Materialien|Tutti i materiali
1092|Todos|Alle|Tutti
1093|No personalizable|Nicht personalisierbar|Non personalizzabile
1094|Ordenar|Sortieren|Ordina
1095|Destacados primero|Highlights zuerst|In evidenza prima
1096|Más recientes|Neueste zuerst|Più recenti
1097|Nombre A-Z|Name A–Z|Nome A-Z
1098|Nombre Z-A|Name Z–A|Nome Z-A
1099|producto(s) mostrado(s)|angezeigte Produkte|prodotti mostrati
1100|Introduce una búsqueda o utiliza los filtros para encontrar productos.|Geben Sie einen Suchbegriff ein oder nutzen Sie die Filter.|Inserisci una ricerca o usa i filtri per trovare prodotti.
1101|Borrar búsqueda|Suche löschen|Cancella ricerca
1102|Todo listo para buscar|Bereit für die Suche|Pronto per la ricerca
1103|Introduce el nombre de un producto, SKU, material o marca. También puedes filtrar por tipo, material o personalización.|Geben Sie Produktname, SKU, Material oder Marke ein. Sie können auch nach Typ, Material oder Personalisierung filtern.|Inserisci nome del prodotto, SKU, materiale o marchio. Puoi anche filtrare per tipo, materiale o personalizzazione.
1104|Sin resultados|Keine Ergebnisse|Nessun risultato
1105|Prueba a buscar botella, taza, camiseta, algodón, metal o un SKU.|Suchen Sie beispielsweise nach Flasche, Tasse, T-Shirt, Baumwolle, Metall oder einer SKU.|Prova a cercare bottiglia, tazza, t-shirt, cotone, metallo o uno SKU.
1106|Destacado|Highlight|In evidenza
1107|Revisa los productos y precios antes de continuar a la compra.|Prüfen Sie Produkte und Preise, bevor Sie zur Kasse gehen.|Verifica prodotti e prezzi prima di procedere all'acquisto.
1108|Precio unitario|Stückpreis|Prezzo unitario
1109|Continuar a la compra|Zur Kasse|Procedi all'acquisto
1110|Stripe procesará el pago de forma segura.|Die Zahlung wird sicher durch Stripe verarbeitet.|Il pagamento verrà elaborato in modo sicuro da Stripe.
1111|Envío gratis en pedidos de 50 € o más.|Kostenloser Versand ab 50 € Bestellwert.|Spedizione gratuita per ordini da 50 €.
1112|Ya tienes envío gratis en este pedido.|Sie erhalten für diese Bestellung kostenlosen Versand.|Hai ottenuto la spedizione gratuita per questo ordine.
1113|Tu carrito está vacío|Ihr Warenkorb ist leer|Il tuo carrello è vuoto
1114|Añade productos al carrito para preparar tu pedido.|Fügen Sie Produkte zum Warenkorb hinzu, um Ihre Bestellung vorzubereiten.|Aggiungi prodotti al carrello per preparare il tuo ordine.
1115|Encontrar productos|Produkte finden|Trova prodotti
1116|Datos y dirección|Angaben und Adresse|Dati e indirizzo
1117|Entrega y plazo|Lieferung und Lieferzeit|Consegna e tempi
1118|Paso 1 de 3|Schritt 1 von 3|Passaggio 1 di 3
1119|Destino del pedido|Lieferadresse der Bestellung|Destinazione dell'ordine
1120|Confirma tus datos e indica la dirección donde deseas recibir el pedido.|Bestätigen Sie Ihre Kundendaten und geben Sie die gewünschte Lieferadresse ein.|Conferma i tuoi dati e inserisci l'indirizzo dove desideri ricevere l'ordine.
1121|Personalización configurada|Personalisierung konfiguriert|Personalizzazione configurata
1122|El envío y el IVA se añadirán antes del pago.|Versand und MwSt. werden vor der Zahlung hinzugefügt.|Spedizione e IVA verranno aggiunte prima del pagamento.
1123|En el envío podrás elegir el método de entrega, consultar el plazo y confirmar el coste.|Beim Versand können Sie die Lieferart wählen, die Lieferzeit prüfen und die Kosten bestätigen.|Nella spedizione puoi scegliere il metodo di consegna, verificare i tempi e confermare il costo.
1124|Pago seguro|Sichere Zahlung|Pagamento sicuro
1125|El pago solo se solicita después de elegir el envío y revisar el importe final.|Die Zahlung wird erst nach Auswahl des Versands und Prüfung des Endbetrags angefordert.|Il pagamento viene richiesto solo dopo la scelta della spedizione e la verifica dell'importo finale.
1126|Volver al producto|Zurück zum Produkt|Torna al prodotto
1127|Paso 2 · Personalización|Schritt 2 · Personalisierung|Passaggio 2 · Personalizzazione
1128|Elige la ubicación y la técnica, carga tu logotipo y confirma la maqueta para continuar directamente a la compra.|Wählen Sie Position und Technik, laden Sie Ihr Logo hoch und bestätigen Sie die Vorschau, um direkt zur Kasse zu gehen.|Scegli posizione e tecnica, carica il logo e conferma la bozza per procedere direttamente all'acquisto.
1129|Seleccionado|Ausgewählt|Selezionato
1130|Este producto todavía no tiene áreas de personalización disponibles|Für dieses Produkt sind noch keine Personalisierungsflächen verfügbar|Questo prodotto non ha ancora aree di personalizzazione disponibili
1131|Puedes volver al producto y añadirlo al carrito sin personalización.|Sie können zum Produkt zurückkehren und es ohne Personalisierung in den Warenkorb legen.|Puoi tornare al prodotto e aggiungerlo al carrello senza personalizzazione.
1132|Guías B2B|B2B-Ratgeber|Guide B2B
1133|Mi cuenta|Mein Konto|Il mio account
1134|Administración|Verwaltung|Amministrazione
1135|Ver tienda|Shop ansehen|Vedi negozio
1136|página de inicio|Startseite|pagina iniziale
1137|Descubrir|Entdecken|Scopri
1138|Asistencia|Unterstützung|Assistenza
1139|La forma inteligente de encontrar, personalizar y comprar merchandising para tu empresa.|Merchandising für Ihr Unternehmen clever finden, personalisieren und kaufen.|Il modo intelligente di trovare, personalizzare e acquistare merchandising per la tua azienda.
1140|Asistencia comercial|Verkaufsberatung|Assistenza commerciale
1141|Todos los derechos reservados.|Alle Rechte vorbehalten.|Tutti i diritti riservati.
1142|Libro de reclamaciones|Beschwerdebuch|Libro dei reclami
1143|Blog|Blog|Blog
1144|Sobre 360|Über 360|Chi è 360
1145|Dinos qué necesitas, cuántas unidades quieres, tu presupuesto y cuándo necesitas recibirlo.|Sagen Sie uns, was Sie benötigen, wie viele Stück Sie wünschen, welches Budget Sie haben und wann die Lieferung erfolgen soll.|Dicci cosa ti serve, quante unità desideri, il tuo budget e quando vuoi riceverle.
1146|La forma inteligente de comprar merchandising|Merchandising clever einkaufen|Il modo intelligente di acquistare merchandising
1147|Ver categorías|Kategorien ansehen|Vedi categorie
1148|Productos destacados|Ausgewählte Produkte|Prodotti in evidenza
1149|¿Productos promocionales y regalos corporativos? Los tenemos.|Werbeartikel und Firmengeschenke? Haben wir.|Prodotti promozionali e regali aziendali? Ci sono.
1150|Explora nuestras principales categorías de productos.|Entdecken Sie unsere wichtigsten Produktkategorien.|Esplora le nostre principali categorie di prodotti.
1151|Ver todas las categorías|Alle Kategorien ansehen|Vedi tutte le categorie
1152|De la elección del producto al pedido en pocos pasos.|Von der Produktauswahl zur Bestellung in wenigen Schritten.|Dalla scelta del prodotto all'ordine in pochi semplici passaggi.
1153|Explorar catálogo|Katalog entdecken|Esplora catalogo
1154|Ventajas B2B|B2B-Vorteile|Vantaggi B2B
1155|Una experiencia pensada para empresas.|Ein Einkaufserlebnis für Unternehmen.|Un'esperienza pensata per le aziende.
1156|360 Merchandising agiliza la compra y personalización de productos promocionales, reduce las solicitudes manuales y facilita la elección por categoría, color, stock, cantidad y personalización.|360 Merchandising beschleunigt Kauf und Personalisierung von Werbeartikeln, reduziert manuelle Anfragen und erleichtert die Auswahl nach Kategorie, Farbe, Bestand, Menge und Personalisierung.|360 Merchandising accelera l'acquisto e la personalizzazione dei prodotti promozionali, riduce le richieste manuali e facilita la scelta per categoria, colore, disponibilità, quantità e personalizzazione.
1157|Encuentra el producto adecuado para la próxima campaña de tu empresa.|Finden Sie das passende Produkt für die nächste Kampagne Ihres Unternehmens.|Trova il prodotto giusto per la prossima campagna della tua azienda.
1158|Producto disponible|Produkt verfügbar|Prodotto disponibile
1159|Productos promocionales|Werbeartikel|Prodotti promozionali
1160|Productos personalizados para campañas, eventos, ferias y activaciones de marca.|Personalisierte Produkte für Kampagnen, Veranstaltungen, Messen und Markenaktivierungen.|Prodotti personalizzati per campagne, eventi, fiere e attivazioni del marchio.
1161|Merchandising corporativo|Unternehmensmerchandising|Merchandising aziendale
1162|Soluciones de marca para empresas, equipos, clientes y campañas comerciales.|Markenlösungen für Unternehmen, Teams, Kunden und Vertriebskampagnen.|Soluzioni di branding per aziende, team, clienti e campagne commerciali.
1163|Ropa promocional|Werbekleidung|Abbigliamento promozionale
1164|Camisetas, polos, sudaderas, chaquetas y ropa personalizada para empresas.|T-Shirts, Poloshirts, Sweatshirts, Jacken und personalisierte Kleidung für Unternehmen.|T-shirt, polo, felpe, giacche e abbigliamento personalizzato per aziende.
1165|Regalos empresariales|Firmengeschenke|Regali aziendali
1166|Regalos corporativos para clientes, equipos, eventos y campañas especiales.|Firmengeschenke für Kunden, Teams, Veranstaltungen und besondere Kampagnen.|Regali aziendali per clienti, team, eventi e campagne speciali.
1167|Elige una categoría|Kategorie wählen|Scegli una categoria
1168|Explora las familias de productos y encuentra opciones para tu campaña rápidamente.|Durchsuchen Sie Produktgruppen und finden Sie schnell Optionen für Ihre Kampagne.|Esplora le famiglie di prodotti e trova rapidamente opzioni per la tua campagna.
1169|Elige color y cantidad|Farbe und Menge wählen|Scegli colore e quantità
1170|Consulta stock, precios por cantidad y disponibilidad antes de comprar.|Prüfen Sie Bestand, Mengenpreise und Verfügbarkeit vor der Bestellung.|Controlla scorte, prezzi per quantità e disponibilità prima di ordinare.
1171|Crea una maqueta o compra directamente|Vorschau erstellen oder direkt kaufen|Crea una bozza o acquista direttamente
1172|Personaliza el producto cuando sea posible o añádelo directamente al carrito.|Personalisieren Sie das Produkt, sofern möglich, oder legen Sie es direkt in den Warenkorb.|Personalizza il prodotto quando possibile o aggiungilo direttamente al carrello.
1173|Completa tu pedido|Bestellung abschließen|Completa il tuo ordine
1174|Revisa los datos en la compra y confirma el pedido de forma segura.|Prüfen Sie Ihre Angaben an der Kasse und bestätigen Sie den Kauf sicher.|Verifica i tuoi dati alla cassa e conferma l'acquisto in sicurezza.
1175|Compra directa online|Direkt online kaufen|Acquisto diretto online
1176|Precios por cantidad|Mengenpreise|Prezzi per quantità
1177|Stock y colores por producto|Bestand und Farben je Produkt|Disponibilità e colori per prodotto
1178|Productos con personalización disponible|Produkte mit Personalisierungsoptionen|Prodotti con personalizzazione disponibile
1179|Catálogo actualizado continuamente|Laufend aktualisierter Katalog|Catalogo costantemente aggiornato
1180|Envíos en 24 horas*|Versand innerhalb von 24 Stunden*|Spedizioni in 24 ore*
1181|¿Qué estás buscando?|Was suchen Sie?|Cosa stai cercando?
1182|500 botellas sostenibles por menos de 3 € para una feria|500 nachhaltige Flaschen unter 3 € für eine Messe|500 bottiglie sostenibili sotto i 3 € per una fiera
1183|Busca un producto o simplemente cuéntanos qué necesitas.|Suchen Sie nach einem Produkt oder sagen Sie uns einfach, was Sie benötigen.|Cerca un prodotto o dicci semplicemente cosa ti serve.
1184|No lo tengo claro. Muéstrame sugerencias.|Ich bin mir nicht sicher. Zeigen Sie mir Vorschläge.|Non sono sicuro. Mostrami dei suggerimenti.
1185|Indica únicamente la cantidad y el presupuesto disponible.|Geben Sie einfach Menge und verfügbares Budget an.|Indica solo la quantità e il budget disponibile.
1186|Presupuesto total|Gesamtbudget|Budget totale
1187|Mostrar sugerencias|Vorschläge anzeigen|Mostra suggerimenti
1188|Serigrafía|Siebdruck|Serigrafia
1189|Tampografía|Tampondruck|Tampografia
1190|Grabado láser|Lasergravur|Incisione laser
1191|Impresión por transfer|Transferdruck|Stampa transfer
1192|Estampación en caliente|Heißprägung|Stampa a caldo
1193|{0} para productos promocionales personalizados|{0} für personalisierte Werbeartikel|{0} per prodotti promozionali personalizzati
1194|{0} para merchandising personalizado|{0} für personalisiertes Merchandising|{0} per merchandising personalizzato
1195|Descubre cómo evaluar {0} según el producto, variante, ubicación, área de impresión y cantidad.|Erfahren Sie, wie Sie {0} nach Produkt, Variante, Position, Druckfläche und Menge beurteilen.|Scopri come valutare {0} in base a prodotto, variante, posizione, area di stampa e quantità.
1196|{0} solo está disponible para combinaciones compatibles de producto y ubicación. Confirma la opción exacta de la variante seleccionada antes de preparar archivos o comprar.|{0} ist nur für kompatible Kombinationen aus Produkt und Position verfügbar. Prüfen Sie die genaue Option der ausgewählten Variante vor Dateivorbereitung oder Bestellung.|{0} è disponibile solo per combinazioni compatibili di prodotto e posizione. Conferma l'opzione esatta della variante selezionata prima di preparare i file o ordinare.
1197|Confirma la combinación disponible|Verfügbare Kombination bestätigen|Conferma la combinazione disponibile
1198|La personalización depende del producto, variante, componente y ubicación. Selecciona únicamente opciones disponibles para esa referencia exacta.|Die Personalisierung richtet sich nach Produkt, Variante, Komponente und Position. Wählen Sie nur Optionen, die für die genaue Referenz angeboten werden.|La personalizzazione dipende da prodotto, variante, componente e posizione. Seleziona solo opzioni offerte per l'esatto riferimento.
